year,temperature,precipitation,elevation,slope,nightlight,population_density,road_density,mining_density,forest_area_percent,cropland_area_percent,impervious_area_percent,VHI,h3_index,latitude,longitude
2020,20.182714618191824,1136.735444381472,179.0528421283184,7.976571431882139,19.453412177633773,3942.357296778429,0.3640459948265843,0.0,15.61122448979592,70.50326530612244,13.781020408163265,0.4443811311625555,8541a8a7fffffff,25.37848979200657,114.89511658428783
2021,20.182714618191824,1136.735444381472,179.0528421283184,7.976571431882139,19.842480421186448,3981.7808697462133,0.3640459948265843,0.0,15.61122448979592,70.50326530612244,13.781020408163265,0.4964401938631199,8541a8a7fffffff,25.37848979200657,114.89511658428783
2022,20.182714618191824,1136.735444381472,179.0528421283184,7.976571431882139,20.231548664739126,4021.2044427139977,0.3640459948265843,0.0,15.61122448979592,70.50326530612244,13.781020408163265,0.5446856876537299,8541a8a7fffffff,25.37848979200657,114.89511658428783
2023,20.182714618191824,1136.735444381472,179.0528421283184,7.976571431882139,20.6206169082918,4060.628015681782,0.3640459948265843,0.0,15.61122448979592,70.50326530612244,13.781020408163265,0.5265070553123655,8541a8a7fffffff,25.37848979200657,114.89511658428783
2024,20.182714618191824,1136.735444381472,179.0528421283184,7.976571431882139,21.009685151844476,4100.051588649566,0.3640459948265843,0.0,15.61122448979592,70.50326530612244,13.781020408163265,0.5469265821361888,8541a8a7fffffff,25.37848979200657,114.89511658428783
2000,18.093118329842216,1722.6930045006382,301.7021549404743,18.31641617228864,2.941644128688852,496.76130900499095,0.1329757847514834,0.0,86.87673469387755,12.834081632653062,0.2889795918367347,0.4794358686774904,8541a8abfffffff,25.53315757552451,115.10578194414332
2001,18.303897089526124,1718.2275957973163,301.7021549404743,18.31641617228864,3.0093450535097555,492.11067582824353,0.1329757847514834,0.0,86.68387755102042,12.93061224489796,0.3853061224489795,0.5305504423694941,8541a8abfffffff,25.53315757552451,115.10578194414332
2002,18.59366026364529,1766.3781079877042,301.7021549404743,18.31641617228864,2.7784854008982056,504.8730070913349,0.1329757847514834,0.0,86.91591836734695,12.602244897959183,0.4818367346938775,0.4707562725473005,8541a8abfffffff,25.53315757552451,115.10578194414332
2003,18.88871986612471,1221.3656784158077,301.7021549404743,18.31641617228864,2.2285599568334065,506.9266987278796,0.1329757847514834,0.0,86.81897959183674,12.892040816326531,0.2889795918367347,0.4776118049020969,8541a8abfffffff,25.53315757552451,115.10578194414332
2004,18.719018612981515,1264.0374986782244,301.7021549404743,18.31641617228864,2.440358423826783,520.8171713035529,0.1329757847514834,0.0,86.62755102040816,12.986938775510204,0.3855102040816326,0.4820883022724422,8541a8abfffffff,25.53315757552451,115.10578194414332
